original_index,clean_text,confidence,prediction,proba
1135,CONGRESS DID NOT VOTE FOR WAR ITS ILLEGAL AND HE NEEDS TO BE STOPPED ASAP! The military soldiers are CORRECT IN REFUSING! AMEN AMERICA 🇺🇸,0.449044750635899,Negative,"[0.3106683536301298, 0.24028689573397122, 0.449044750635899]"
1150,"As he did not get CM position he parted with congress,if he get what he wished he would have stayed with congress..jagan gave RS seat to person on whom he said they are responsible for ysr death..",0.5139624229710971,Negative,"[0.00019687043416013723, 0.4858407065947429, 0.5139624229710971]"
1159,"congress haina yo party kasaile hijack garna, balen and rabi both are rsp leaders.",0.5473388930195231,Negative,"[0.00015914640560137203, 0.4525019605748755, 0.5473388930195231]"
1162,Since President rule is now out of equation.. Here comes my prediction on 16.03.2026 BJP - 72-82 TMC -190-200 ISF - 2 INC- 3-4 Humayun - 1-2 Left - 0 Vote share - BJP - 39% - 40.50% TMC - 44% - 45.50% P.S. - Proven wrong I'll be the happiest 🙏🏻,0.5558513756993322,Neutral,"[0.4010249639851068, 0.5558513756993322, 0.043123660315561085]"
1171,"Calls, PM Modi's Outreach Bharat Is Pulling Off the World’s Most Complex Geopolitical Balancing Act Right Now 🇮🇳 While the world is getting pulled into rival camps, Bharat is doing the exact opposite. Military data-sharing agreements with the United States",0.45174423788714774,Positive,"[0.45174423788714774, 0.12369774835039096, 0.4245580137624612]"
1188,This cabinet is not possible. Until Rahul Gandhi gives his throne to someone else,0.6285935211679057,Neutral,"[0.0012582836970614385, 0.6285935211679057, 0.37014819513503294]"
1199,Rahul Gandhi and Congress trying to win election in India,0.6310331892762924,Negative,"[0.0022050413367466055, 0.3667617693869611, 0.6310331892762924]"
1211,That is followed by Afghanistan not Iran. But India is cozying with Afghanistan which i don't have problem I give preference in Indian intrest Not in GOI or BJP and RSS intrest,0.5932890195887549,Negative,"[0.0011669838343088426, 0.4055439965769363, 0.5932890195887549]"
1212,Many social media sites UGCBlackLaw ugcexposedmodi UGC_Exposed_बिकाऊ_मीडिया posts deleted/downing all protesters posts. By BJP RSS NDA by money/mussels/fears/threats/governments powers unothoraised used in bharat.,0.6449540647333495,Positive,"[0.6449540647333495, 0.07188500576527329, 0.2831609295013773]"
1224,Then Rahul Go to Amerca as usual and talk nonsense about India like he utters Nonsense in parliament and wastes the valuable time..,0.61689386732632,Negative,"[0.3462039994802827, 0.03690213319339725, 0.61689386732632]"
1225,"He didn't have pushback from Congress and judges, and he didn't let HIS PROTESTERS be in the streets. HE CONTROLS the protesters.",0.6183552551681548,Negative,"[0.37970683865944804, 0.0019379061723971015, 0.6183552551681548]"
1231,"Delhi: BJP MP Praveen Khandelwal says, ""The Election Commission of India has the authority to decide matters related to the electoral process in the state. If people like Nana Patole comment on it, they are simply trying to serve their own political interests, and it will not benefit them politically. The dates and the programme announced by the Election Commission will be followed, and there can be no change in that...""",0.601741112307663,Neutral,"[0.0016261285530587328, 0.601741112307663, 0.3966327591392782]"
1243,I believe defeat of BJP in Bengal 2026 will signal the beginning of the party's decline at centre. Unlike in 2021-22 when BJP was able to recover in Uttar Pradesh after humiliating defeat in Bengal the situation in UP this time is quite complex.,0.5288124633042063,Neutral,"[0.013248838520224177, 0.5288124633042063, 0.4579386981755695]"
1248,TMC and Congress are following 'divide and rule' policy,0.6077688529461378,Neutral,"[0.0003315364660634071, 0.6077688529461378, 0.39189961058779876]"
1253,He is a Hyderabadi. He feels emboldened by the Presence of Congress Rule there. He is a Stone headed & stunted. Else he would have thought how the Ordinary folk will react to this type of Statement. A Namaz 4 Nuisance is not REGISTERED in the Book of Paradise. Is he aware?,0.6269338839626123,Negative,"[0.0014543636434147381, 0.37161175239397287, 0.6269338839626123]"
1261,whilst stood next to a hindu nationalist and modi’s 1 fan… 10/10,0.5548500239978248,Neutral,"[0.0488014939335711, 0.5548500239978248, 0.3963484820686042]"
1263,"Their favorites include: “Establishment” Dems (anyone who isn’t Bernie Sanders), “codifying” (passing legislation through congress), and “geriatric” members of congress (anyone besides Bernie Sanders who is over 45), and “Zionists” (anyone they don’t like in general).",0.5157326399796811,Neutral,"[9.547415924565218e-07, 0.5157326399796811, 0.48426640527872644]"
1264,9 tareek wali teeno States rss bjp are winning through VoteChori n 23rd date elections wl go in India alliance kitty through all fair means cos BHAGWA MANUWADI MUJAHIDEENS GHIROH don't stand a chance in TN n WB,0.5696745916099312,Positive,"[0.5696745916099312, 0.16693964115211415, 0.2633857672379548]"
1279,PM Modi writes to Om Birla: Oppn can't acept rise of a new person via NaMo App,0.5399242866634602,Neutral,"[0.010813475963990994, 0.5399242866634602, 0.4492622373725488]"
1295,"According to the latest survey, Rahul Gandhi is more popular than Narendra Modi in Kerala and Tamil Nadu. WhY ?🤔",0.5765573097929613,Neutral,"[0.0056791569741597644, 0.5765573097929613, 0.417763533232879]"
1304,Same evms work well when congress wins elections.,0.40991242349420787,Negative,"[0.37894050505477295, 0.2111470714510192, 0.40991242349420787]"
